datadate,conm,prccd,diff
01/02/2013,AAR CORP,19.37,0.2400
01/03/2013,AAR CORP,19.82,0.2400
01/04/2013,AAR CORP,20.11,0.2400
01/07/2013,AAR CORP,19.75,-0.1500
01/08/2013,AAR CORP,19.61,-0.7500
01/09/2013,AAR CORP,19.67,-0.7600
01/10/2013,AAR CORP,19.36,-0.7600
01/11/2013,AAR CORP,18.99,-0.3600
01/14/2013,AAR CORP,18.85,-0.2200
01/15/2013,AAR CORP,19.31,0.4800
01/16/2013,AAR CORP,19.14,0.7600
01/17/2013,AAR CORP,19.47,0.5300
01/18/2013,AAR CORP,19.61,0.4700
01/22/2013,AAR CORP,19.84,0.5500
01/23/2013,AAR CORP,19.61,0.4000
01/24/2013,AAR CORP,20.02,-0.0700
01/25/2013,AAR CORP,20.01,-0.0200
01/28/2013,AAR CORP,19.77,-0.8100
01/29/2013,AAR CORP,19.59,-1.1600
01/30/2013,AAR CORP,19.21,-0.7000
01/31/2013,AAR CORP,18.85,-1.0100
02/01/2013,AAR CORP,19.07,-0.6700
02/04/2013,AAR CORP,18.58,-0.4100
02/05/2013,AAR CORP,18.54,-0.4100
02/06/2013,AAR CORP,18.44,0.2000
02/07/2013,AAR CORP,18.66,0.1800
02/08/2013,AAR CORP,18.78,0.2100
02/11/2013,AAR CORP,18.72,0.0000
02/12/2013,AAR CORP,18.65,-0.3900
02/13/2013,AAR CORP,18.66,-0.3600
02/14/2013,AAR CORP,18.39,0.0300
02/15/2013,AAR CORP,18.36,-0.3600
02/19/2013,AAR CORP,18.68,-0.5900
02/20/2013,AAR CORP,18.3,-0.2500
02/21/2013,AAR CORP,17.8,-1.2400
02/22/2013,AAR CORP,18.11,-0.7600
02/25/2013,AAR CORP,17.44,-0.1700
02/26/2013,AAR CORP,17.54,-0.5400
02/27/2013,AAR CORP,17.63,-0.1200
02/28/2013,AAR CORP,17.57,-1.0100
03/01/2013,AAR CORP,17.32,-0.7100
03/04/2013,AAR CORP,16.53,-0.2400
03/05/2013,AAR CORP,16.92,0.2300
03/06/2013,AAR CORP,17.33,1.3300
03/07/2013,AAR CORP,17.55,1.1300
03/08/2013,AAR CORP,17.86,0.5400
03/11/2013,AAR CORP,18.05,0.4200
03/12/2013,AAR CORP,17.87,0.2000
03/13/2013,AAR CORP,17.97,0.1500
03/14/2013,AAR CORP,18.06,0.2300
03/15/2013,AAR CORP,18.2,0.0100
03/18/2013,AAR CORP,18.1,1.5000
03/19/2013,AAR CORP,17.98,0.6300
03/20/2013,AAR CORP,19.56,0.3100
03/21/2013,AAR CORP,18.83,0.1100
03/22/2013,AAR CORP,18.41,-1.2600
03/25/2013,AAR CORP,18.09,-0.5200
03/26/2013,AAR CORP,18.3,-0.0200
03/27/2013,AAR CORP,18.31,-0.1700
03/28/2013,AAR CORP,18.39,-0.5600
04/01/2013,AAR CORP,17.92,-0.9600
04/02/2013,AAR CORP,17.74,-0.9200
04/03/2013,AAR CORP,17.35,-0.4300
04/04/2013,AAR CORP,17.47,0.0400
04/05/2013,AAR CORP,17.49,0.1300
04/08/2013,AAR CORP,17.78,0.7300
04/09/2013,AAR CORP,17.48,0.5200
04/10/2013,AAR CORP,18.2,0.2100
04/11/2013,AAR CORP,18.01,-0.2700
04/12/2013,AAR CORP,17.99,-1.0200
04/15/2013,AAR CORP,17.21,-1.3300
04/16/2013,AAR CORP,17.18,-1.5200
04/17/2013,AAR CORP,16.68,-0.6900
04/18/2013,AAR CORP,16.47,-0.6600
04/19/2013,AAR CORP,16.52,0.6600
04/22/2013,AAR CORP,16.52,1.1500
04/23/2013,AAR CORP,17.34,1.5400
04/24/2013,AAR CORP,17.62,1.0400
04/25/2013,AAR CORP,18.06,0.3500
04/26/2013,AAR CORP,17.56,0.2400
04/29/2013,AAR CORP,17.69,-0.4400
04/30/2013,AAR CORP,17.86,0.2500
05/01/2013,AAR CORP,17.62,0.8800
05/02/2013,AAR CORP,17.81,0.7000
05/03/2013,AAR CORP,18.57,1.1500
05/06/2013,AAR CORP,18.56,1.0100
05/07/2013,AAR CORP,18.77,0.2200
05/08/2013,AAR CORP,18.82,0.4200
05/09/2013,AAR CORP,18.79,0.0400
05/10/2013,AAR CORP,18.98,0.3300
05/13/2013,AAR CORP,18.81,0.5600
05/14/2013,AAR CORP,19.15,0.0600
05/15/2013,AAR CORP,19.35,0.7500
05/16/2013,AAR CORP,19.04,0.6700
05/17/2013,AAR CORP,19.56,0.3200
05/20/2013,AAR CORP,19.82,0.6800
05/21/2013,AAR CORP,19.67,0.1300
05/22/2013,AAR CORP,19.72,0.3100
05/23/2013,AAR CORP,19.69,0.8000
05/24/2013,AAR CORP,20.13,0.5800
05/28/2013,AAR CORP,20.47,0.7100
05/29/2013,AAR CORP,20.3,-0.0700
05/30/2013,AAR CORP,20.4,0.2100
05/31/2013,AAR CORP,20.06,-0.0700
06/03/2013,AAR CORP,20.68,-0.3300
06/04/2013,AAR CORP,20.23,0.5400
06/05/2013,AAR CORP,20.07,0.2100
06/06/2013,AAR CORP,20.6,1.0700
06/07/2013,AAR CORP,20.89,1.0300
06/10/2013,AAR CORP,21.3,0.3500
06/11/2013,AAR CORP,21.1,0.7900
06/12/2013,AAR CORP,20.95,0.0600
06/13/2013,AAR CORP,21.68,0.5000
06/14/2013,AAR CORP,21.36,1.0000
06/17/2013,AAR CORP,21.6,0.1000
06/18/2013,AAR CORP,21.95,-0.0900
06/19/2013,AAR CORP,21.78,-0.0400
06/20/2013,AAR CORP,21.27,-0.8200
06/21/2013,AAR CORP,21.56,-0.5700
06/24/2013,AAR CORP,21.13,0.1400
06/25/2013,AAR CORP,21.21,0.2800
06/26/2013,AAR CORP,21.41,0.8500
06/27/2013,AAR CORP,21.84,1.5600
06/28/2013,AAR CORP,21.98,0.9600
07/01/2013,AAR CORP,22.77,0.8200
07/02/2013,AAR CORP,22.37,1.0900
07/03/2013,AAR CORP,22.66,0.4500
07/05/2013,AAR CORP,23.07,0.8500
07/08/2013,AAR CORP,23.22,1.2200
07/09/2013,AAR CORP,23.22,1.5600
07/10/2013,AAR CORP,23.88,1.3800
07/11/2013,AAR CORP,24.63,2.2100
07/12/2013,AAR CORP,24.6,0.8700
07/15/2013,AAR CORP,25.43,0.5700
07/16/2013,AAR CORP,24.75,0.8000
07/17/2013,AAR CORP,25.2,0.3300
07/18/2013,AAR CORP,25.4,1.0600
